venue_key,venue_name,city,country,capacity,capacity_values,needs_review,source
THE KIA FORUM,THE KIA FORUM,"LOS ANGELES, CA",USA,18000,18000,False,excel_pink_cell
THE LENOVO GARAGE,The Lenovo Garage,MADRID,SPAIN,4800,4800,False,excel_pink_cell
THE LOFT,The Loft,"ATLANTA, GA",USA,650,650,False,excel_pink_cell
THE LONDONER ARENA,The Londoner Arena,MACAU,CHINA,6000,6000,False,excel_pink_cell
THE LONDONER THEATRE,The Londoner Theatre,MACAU,CHINA,1682,1682,False,excel_pink_cell
THE MUSIC HALL OF WILLIAMSBURG,The Music Hall of Williamsburg,"NEW YORK, NY",USA,650,650,False,excel_pink_cell
THE NILE THEATER,The Nile Theater,"MESA, AZ",USA,1000,1000,False,excel_pink_cell
THE O2,The O2,LONDON,UNITED KINGDOM,20000,20000,False,excel_pink_cell
THE OPERA HOUSE,The Opera House,"TORONTO, ON",CANADA,950,950,False,excel_pink_cell
THE ROCK BOX,The Rock Box,"SAN ANTONIO, TX",USA,1000,1000,False,excel_pink_cell
THE ROXY THEATRE,The Roxy Theatre,"LOS ANGELES, CA",USA,500,500,False,excel_pink_cell
THE STREET RATCHADA,THE STREET RATCHADA,BANGKOK,THAILAND,1000,1000,False,excel_pink_cell
THE STUDIO AT THE BOMB FACTORY,The Studio at the Bomb Factory,"DALLAS, TX",USA,1000,1000,False,excel_pink_cell
THE THEATRE AT MEDIACORP,The Theatre at Mediacorp,SINGAPORE,SINGAPORE,1541,1541,False,excel_pink_cell
THE VENETIAN ARENA,The Venetian Arena,MACAU,CHINA,14000,14000,False,excel_pink_cell
THE VERMONT HOLLYWOOD,The Vermont Hollywood,"LOS ANGELES, CA",USA,1200,1200,False,excel_pink_cell
THEATRE OF LIVING ARTS,Theatre of Living Arts,"PHILADELPHIA, PA",USA,800,800,False,excel_pink_cell
THUNDER DOME,THUNDER DOME,BANGKOK,THAILAND,15000,3500|15000,True,excel_pink_cell
TICC,TICC,TAIPEI,TAIWAN,3122,3000|3122,False,excel_pink_cell
TICKETLINK LIVE ARENA,Ticketlink Live Arena,SEOUL,KOREA,6500,6500,False,excel_pink_cell
TIKTOK ENTERTAINMENT CENTRE,TIKTOK ENTERTAINMENT CENTRE,SYDNEY,AUSTRALIA,9000,9000,False,excel_pink_cell
TOKIO MARINE HALL,TOKIO MARINE HALL,SAO PAULO,BRAZIL,4000,4000,False,excel_pink_cell
TOKYO DOME,Tokyo Dome,TOKYO,JAPAN,55000,55000,False,excel_pink_cell
TOTTENHAM HOTSPUR STADIUM,TOTTENHAM HOTSPUR STADIUM,LONDON,UNITED KINGDOM,65000,65000,False,excel_pink_cell
TOYOSU PIT,Toyosu PIT,TOKYO,JAPAN,3100,3000|3100,False,excel_pink_cell
TOYOTA ARENA TOKYO,Toyota Arena Tokyo,TOKYO,JAPAN,10000,10000,False,excel_pink_cell
UBER ARENA,Uber Arena,BERLIN,GERMANY,17000,17000,False,excel_pink_cell
UBER EATS MUSIC HALL,Uber Eats Music Hall,BERLIN,GERMANY,4500,4500,False,excel_pink_cell
UNIVERSE MULTIVENUE,Universe Multivenue,ATHENS,GREECE,600,600,False,excel_pink_cell
VICTORY CONVENTION CENTRE,Victory Convention Centre,AUCKLAND,NEW ZELAND,2200,2200,False,excel_pink_cell
VORTERIX,Vorterix,BUENOS AIRES,ARGENTINA,1584,1584,False,excel_pink_cell
WESTAR,WESTAR,TAIPEI,TAIWAN,1000,1000,False,excel_pink_cell
